Feature: workclass
value,precision,recall,fbeta
Self-emp-inc,0.8205128205128205,0.7441860465116279,0.7804878048780488
Local-gov,0.6517857142857143,0.5887096774193549,0.6186440677966102
Private,0.7193763919821826,0.6408730158730159,0.6778593913955929
?,0.5,0.41379310344827586,0.4528301886792453
Self-emp-not-inc,0.75,0.4928571428571429,0.5948275862068966
State-gov,0.88,0.5945945945945946,0.7096774193548386
Federal-gov,0.7391304347826086,0.6710526315789473,0.7034482758620689
Never-worked,1.0,1.0,1.0
Without-pay,1.0,1.0,1.0
Feature: education
value,precision,recall,fbeta
11th,1.0,0.1875,0.3157894736842105
Bachelors,0.7609195402298851,0.7404921700223713,0.7505668934240364
HS-grad,0.5531914893617021,0.38461538461538464,0.4537521815008726
10th,0.75,0.3333333333333333,0.46153846153846156
Assoc-acdm,0.6153846153846154,0.6274509803921569,0.6213592233009709
7th-8th,0.5,0.2,0.28571428571428575
Assoc-voc,0.6304347826086957,0.4393939393939394,0.5178571428571429
Some-college,0.6824034334763949,0.5501730103806228,0.6091954022988506
Masters,0.8423645320197044,0.868020304568528,0.855
9th,1.0,0.0,0.0
Doctorate,0.8923076923076924,0.90625,0.8992248062015504
Preschool,1.0,1.0,1.0
5th-6th,1.0,0.25,0.4
1st-4th,1.0,1.0,1.0
12th,1.0,0.25,0.4
Prof-school,0.8765432098765432,0.8875,0.8819875776397514
Feature: marital-status
value,precision,recall,fbeta
Divorced,0.6458333333333334,0.3563218390804598,0.4592592592592593
Married-civ-spouse,0.7216,0.6741405082212257,0.6970633693972179
Never-married,0.8979591836734694,0.3893805309734513,0.5432098765432098
Separated,1.0,0.3076923076923077,0.47058823529411764
Widowed,1.0,0.4444444444444444,0.6153846153846153
Married-spouse-absent,0.6666666666666666,0.2857142857142857,0.4
Married-AF-spouse,1.0,0.0,0.0
Feature: occupation
value,precision,recall,fbeta
Sales,0.6896551724137931,0.625,0.6557377049180328
Prof-specialty,0.784366576819407,0.7886178861788617,0.7864864864864864
Adm-clerical,0.5728155339805825,0.5566037735849056,0.5645933014354068
?,0.5,0.41379310344827586,0.4528301886792453
Other-service,1.0,0.1935483870967742,0.3243243243243243
Exec-managerial,0.7989690721649485,0.7451923076923077,0.7711442786069651
Craft-repair,0.5957446808510638,0.46153846153846156,0.5201238390092878
Machine-op-inspct,0.5757575757575758,0.3877551020408163,0.4634146341463415
Transport-moving,0.6333333333333333,0.2923076923076923,0.39999999999999997
Handlers-cleaners,0.8571428571428571,0.35294117647058826,0.5
Protective-serv,0.6857142857142857,0.5714285714285714,0.6233766233766234
Farming-fishing,0.6666666666666666,0.10526315789473684,0.18181818181818182
Tech-support,0.8260869565217391,0.6129032258064516,0.7037037037037037
Priv-house-serv,1.0,1.0,1.0
Armed-Forces,1.0,1.0,1.0
Feature: relationship
value,precision,recall,fbeta
Not-in-family,0.7931034482758621,0.38333333333333336,0.5168539325842697
Husband,0.7226666666666667,0.6831932773109244,0.7023758099352051
Own-child,1.0,0.6363636363636364,0.7777777777777778
Unmarried,0.7777777777777778,0.3111111111111111,0.44444444444444436
Wife,0.7073170731707317,0.6083916083916084,0.6541353383458647
Other-relative,0.5,0.09090909090909091,0.15384615384615385
Feature: race
value,precision,recall,fbeta
White,0.7189751801441153,0.6328400281888654,0.6731634182908546
Asian-Pac-Islander,0.7916666666666666,0.6909090909090909,0.737864077669903
Amer-Indian-Eskimo,0.75,0.3,0.4285714285714285
Black,0.847457627118644,0.5555555555555556,0.6711409395973154
Other,1.0,0.3333333333333333,0.5
Feature: sex
value,precision,recall,fbeta
Male,0.7279534109816972,0.6481481481481481,0.6857366771159875
Female,0.725,0.5043478260869565,0.5948717948717949
Feature: native-country
value,precision,recall,fbeta
United-States,0.7194244604316546,0.627177700348432,0.6701414743112435
South,0.6,1.0,0.7499999999999999
Ireland,1.0,0.5,0.6666666666666666
Germany,1.0,0.5833333333333334,0.7368421052631579
Jamaica,1.0,0.3333333333333333,0.5
India,1.0,0.8,0.888888888888889
Philippines,0.7777777777777778,0.7,0.7368421052631577
?,0.7586206896551724,0.7857142857142857,0.7719298245614034
England,0.5,0.6666666666666666,0.5714285714285715
Canada,1.0,0.36363636363636365,0.5333333333333333
Guatemala,1.0,0.0,0.0
Mexico,0.5,0.4,0.4444444444444445
Ecuador,1.0,0.0,0.0
Vietnam,1.0,0.5,0.6666666666666666
Dominican-Republic,1.0,0.0,0.0
Thailand,1.0,1.0,1.0
Puerto-Rico,1.0,1.0,1.0
Cuba,1.0,0.7777777777777778,0.8750000000000001
France,0.75,0.75,0.75
China,1.0,0.6666666666666666,0.8
Yugoslavia,1.0,0.0,0.0
Portugal,1.0,1.0,1.0
Columbia,1.0,1.0,1.0
Taiwan,1.0,0.6666666666666666,0.8
El-Salvador,1.0,0.5,0.6666666666666666
Peru,1.0,1.0,1.0
Hong,1.0,1.0,1.0
Italy,0.75,0.6,0.6666666666666665
Iran,0.75,0.42857142857142855,0.5454545454545454
Laos,1.0,1.0,1.0
Hungary,1.0,0.5,0.6666666666666666
Nicaragua,1.0,1.0,1.0
Poland,1.0,0.0,0.0
Japan,1.0,0.8,0.888888888888889
Greece,1.0,0.75,0.8571428571428571
Scotland,1.0,0.0,0.0
Trinadad&Tobago,0.0,1.0,0.0
Cambodia,0.0,0.0,0.0
Haiti,1.0,1.0,1.0
Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
Honduras,1.0,1.0,1.0
